"Variant SKU","Selling Price",LandingPage
HFCDRYWDM-75T,229.95,https://fragrancebuy.ca/products/hautefragrancecompanydrywood-man?variant=39816911749182
HFCDELKISW-75T,229.95,https://fragrancebuy.ca/products/hautefragrancecompanydelicisouskisses-woman?variant=39816899788862
HFCHCBLMW-75T,229.95,https://fragrancebuy.ca/products/hautefragrancecompanychicblossom-woman?variant=39816891531326
HFCBLKORM-75T,229.95,https://fragrancebuy.ca/products/hautefragrancecompanyblackorris-man?variant=39816882946110
HFCBETNWW-75T,229.95,https://fragrancebuy.ca/products/hautefragrancecompanybeautifulandwild-woman?variant=39816879833150
HFCWMIDW-75B,329.00,https://fragrancebuy.ca/products/hautefragrancecompanywrapmeindreams-woman?variant=39816872624190
HFCSRDDANM-75B,289.00,https://fragrancebuy.ca/products/hautefragrancecompanysworddancer-man?variant=39816864170046
HFCSOCW-75B,289.00,https://fragrancebuy.ca/products/hautefragranceshadeofchocolate-woman?variant=39816856633406
HFCSOCW-75T,229.95,https://fragrancebuy.ca/products/hautefragranceshadeofchocolate-woman?variant=39816948547646
HFCROYPOWM-75B,259.00,https://fragrancebuy.ca/products/hautefragrancecompanyroyalpower-man?variant=39816849915966
HFCROYPOWM-75T,229.95,https://fragrancebuy.ca/products/hautefragrancecompanyroyalpower-man?variant=39816943468606
HFCPOTMNW-75B,255.00,https://fragrancebuy.ca/products/hautefragrancecompanypartyonthemoon-woman?variant=39816845787198
HFCPOTMNW-75T,229.95,https://fragrancebuy.ca/products/hautefragrancecompanypartyonthemoon-woman?variant=39816922005566
HFCBLCLSGTW-75B,289.00,https://fragrancebuy.ca/products/hautefragrancecompanyclosedgate-woman?variant=39816823078974
HFCBLCLSGTW-75T,229.95,https://fragrancebuy.ca/products/hautefragrancecompanyclosedgate-woman?variant=39816898084926
HFCBLCPRSW-75B,259.00,https://fragrancebuy.ca/products/hautefragrancecompanyblackprincess-woman?variant=39816766062654
HFCBLCPRSW-75T,229.95,https://fragrancebuy.ca/products/hautefragrancecompanyblackprincess-woman?variant=39816886616126
KILOUCABANM-100B,42.95,https://fragrancebuy.ca/products/pariscornerkilleroudcabana-man?variant=39816748531774
E&BA4EDPW-100T,99.00,https://fragrancebuy.ca/products/eightandbobannicke4-woman?variant=39816043364414
E&BA3EDPW-100T,99.00,https://fragrancebuy.ca/products/eightandbobannicke3-woman?variant=39816027766846
E&BA2EDPW-100T,99.00,https://fragrancebuy.ca/products/eightandbobannicke2-woman?variant=39816019247166
E&BA1EDPW-100T,99.00,https://fragrancebuy.ca/products/eightandbobannicke1-woman?variant=39816013479998
THMCULDMM-50B,279.00,https://fragrancebuy.ca/products/thameencullinandiamond-man?variant=39816006008894
THMRIVRM-50B,249.00,https://fragrancebuy.ca/products/thameenriviere-man?variant=39815995195454
AMHIMWDM-100B,169.00,https://fragrancebuy.ca/products/amouroudhimalayanwoods-man?variant=39815984611390
ROCATOUEDTM-100B,39.95,https://fragrancebuy.ca/products/rochasaromatictouch-man?variant=39815982841918
AZZHCOLINM-100B,48.00,https://fragrancebuy.ca/products/azzaropourhommecologneintense-man?variant=39815982448702
AZZPHCINTEDTM-50B,39.95,https://fragrancebuy.ca/products/azzaropourhommecologneintense-man?variant=39815980548158
ARISTOWNDREDTW-80B,46.95,https://fragrancebuy.ca/products/aristocrazywonder-woman?variant=39815979237438
